"","ORF","WT","swr1","Ratios"
"3336","YLR296W",0.00545960173564779,0.0483090128796832,-3.14542475473354
"3998","YOR248W",0.0027298008678239,0.0207038626627214,-2.92303233339709
"52","YLR011W",0.0027298008678239,0.0172532188856011,-2.65999792756329
"2707","YBL094C",0.00545960173564779,0.031055793994082,-2.50799483411824
"600","YDR342C",0.414929731909232,2.1324978542603,-2.36160534713672
"193","YPR039W",0.0027298008678239,0.0138025751084809,-2.33806983267593
"3384","YDR426C",0.0027298008678239,0.0138025751084809,-2.33806983267593
"569","YJR018W",0.0163788052069434,0.0724635193195248,-2.14542475473354
"1440","YNL017C",0.0191086060747673,0.0828154506508854,-2.11567741133948
"3307","YCL046W",0.00818940260347169,0.0345064377712023,-2.07503542684214
"3450","YMR269W",0.182896658144201,0.703931330532526,-1.94440598418965
"277","YOR366W",0.00545960173564779,0.0207038626627214,-1.92303233339709
"501","YOR331C",0.0027298008678239,0.0103519313313607,-1.92303233339709
"2698","YNL028W",0.0136490043391195,0.0517596566568034,-1.92303233339709
"3369","YDL162C",0.00545960173564779,0.0207038626627214,-1.92303233339709
"4110","YNL318C",0.00818940260347169,0.031055793994082,-1.92303233339709
"3001","YKR041W",0.0464066147530062,0.165630901301771,-1.83556949214675
"5264","YDR537C",0.0136490043391195,0.0483090128796832,-1.82349665984617
"1203","YJL150W",0.00818940260347169,0.0276051502169618,-1.75310733195477
"2745","YOR214C",0.0245682078104151,0.0828154506508854,-1.75310733195477
"5090","YOR388C",0.00818940260347169,0.0276051502169618,-1.75310733195477
"4946","YFR053C",11.0120167008016,36.5837253250286,-1.73212328933574
"4810","YKL102C",0.0382172121495346,0.124223175976328,-1.70063991206064
"326","YNL324W",0.00545960173564779,0.0172532188856011,-1.65999792756329
"2027","YLR111W",0.0300278095460629,0.0931673819822461,-1.6335257162021
"3043","YIR013C",0.0191086060747673,0.0586609442110439,-1.61817775186867
"3419","YBR040W",0.139219844259019,0.414077253254427,-1.57253508631295
"433","YPR160W",4.05648408958631,11.9840858379385,-1.56281812751943
"5303","YLR171W",0.0245682078104151,0.0724635193195248,-1.56046225401238
"3718","YFL065C",0.0354874112817107,0.0966180257593664,-1.44498503659244
"2859","YOR218C",0.0764344242990691,0.207038626627214,-1.43760550622685
"5532","YLR365W",0.0382172121495346,0.103519313313607,-1.43760550622685
"4720","YBR190W",0.0218384069425912,0.0586609442110439,-1.42553267392627
"2672","YCR064C",0.0955430303738364,0.248446351952656,-1.37871181717328
"853","YDL181W",0.505013160547421,1.30434334775145,-1.36893079638069
"1419","YJR010W",2.87993991555421,7.42233476458561,-1.36583435850444
"2581","YFL014W",0.349414511081459,0.893716738274139,-1.35487812036249
"2138","YGL184C",0.428578736248352,1.09385407734711,-1.35178811392371
"595","YJR158W",0.0027298008678239,0.00690128755424045,-1.33806983267593
"604","YLL067C",0.00545960173564779,0.0138025751084809,-1.33806983267593
"793","YLR261C",0.0136490043391195,0.0345064377712023,-1.33806983267593
"2400","YOL050C",0.027298008678239,0.0690128755424045,-1.33806983267593
"2480","YMR082C",0.0109192034712956,0.0276051502169618,-1.33806983267593
"4052","YDL026W",0.00545960173564779,0.0138025751084809,-1.33806983267593
"4477","YNL057W",0.0027298008678239,0.00690128755424045,-1.33806983267593
"5169","YOR374W",8.339541651202,20.9971673837766,-1.33215471557093
"4208","YML047C",0.114651636448604,0.286403433500979,-1.3207918412441
"3889","YLR438W",8.10477877656915,19.8101459244472,-1.28939479496055
"3652","YKL201C",2.00094403611492,4.86885836951664,-1.28290271713938
"3161","YGL214W",0.0327576104138868,0.0793648068737652,-1.27666928801179
"4792","YCR085W",0.0600556190921257,0.14492703863905,-1.27095563681739
"751","YBL083C",0.027298008678239,0.0655622317652843,-1.26406925123215
"3832","YLR374C",0.027298008678239,0.0655622317652843,-1.26406925123215
"737","YDR042C",0.232033073765031,0.552103004339236,-1.25060699142559
"3798","YMR057C",0.0436768138851823,0.103519313313607,-1.24496042828445
"5513","YGL132W",0.0382172121495346,0.0897167382051259,-1.23115462875942
"478","YFR030W",10.0893440074771,23.4505751093091,-1.21679092844409
"1476","YDR413C",0.0163788052069434,0.0379570815483225,-1.21253895059207
"2020","YJL032W",0.0300278095460629,0.0690128755424045,-1.200566308926
"2466","YJL049W",1.32122362002677,3.02621459253444,-1.19563962784607
"4166","YKL001C",2.44044197583456,5.57278970004917,-1.1912572610739
"4606","YJR153W",0.745235636915924,1.69426609456603,-1.18489190607077
"448","YJR137C",15.7400318038726,35.7107124494172,-1.18191846089558
"2765","YML100W",5.53603615994686,12.5085836920608,-1.17599317546225
"5221","YKL030W",0.0955430303738364,0.213939914181454,-1.16298312611784
"1017","YLR327C",0.480444952737006,1.07315021468439,-1.15940898416924
"3024","YDL214C",0.687909818691622,1.52863519326426,-1.15195279773103
"1109","YNL136W",1.32395342089459,2.93649785432931,-1.1492442172874
"3198","YML071C",2.64244724005353,5.8522918459959,-1.14712704996454
"574","YOL099C",0.0436768138851823,0.0966180257593664,-1.14542475473354
"2224","YAR068W",0.0218384069425912,0.0483090128796832,-1.14542475473354
"5663","YHR152W",1.43041565473972,3.15733905606501,-1.14227476430989
"3183","YNR044W",0.472255550133534,1.04209442069031,-1.14184634436429
"2906","YER190W",0.0627854199599496,0.138025751084809,-1.13643597150628
"5540","YNL033W",0.0409470130173584,0.0897167382051259,-1.1316189552085
"274","YKL202W",0.0300278095460629,0.0655622317652843,-1.12656572748222
"6037","YOR287C",1.92723941268367,4.15802575142987,-1.10936289052207
"368","YFR015C",2.92361672943939,6.29397424946729,-1.10621708209042
"2640","YNL226W",0.0245682078104151,0.0517596566568034,-1.07503542684214
"513","YCR104W",0.00818940260347169,0.0172532188856011,-1.07503542684214
"716","YHL041W",0.0163788052069434,0.0345064377712023,-1.07503542684214
"2814","YPL238C",0.00818940260347169,0.0172532188856011,-1.07503542684214
"3081","YGR291C",0.00818940260347169,0.0172532188856011,-1.07503542684214
"3968","YLL046C",0.00818940260347169,0.0172532188856011,-1.07503542684214
"5017","YPL182C",0.139219844259019,0.293304721055219,-1.07503542684214
"2198","YKL043W",0.799831654272402,1.68391416323467,-1.07405031581657
"1705","YER079W",0.857157472496703,1.80123605165676,-1.07135508035419
"68","YNL277W",1.42495605300407,2.96410300454628,-1.05667815724451
"2250","YBR083W",2.65336644352483,5.51757939961524,-1.05621155255048
"73","YPL089C",1.97910562917232,4.10626609477307,-1.05297850596894
"1331","YJR087W",0.0982728312416603,0.203587982850093,-1.05078788059546
"4038","YFR035C",0.731586632576804,1.51138197437866,-1.04676770181933
"260","YFR032C",0.35760391368493,0.738437768303729,-1.04611381753963
"4102","YNL196C",0.303007896328452,0.624566523658761,-1.04349985340903
"670","YIL122W",0.772533645594163,1.5872961374753,-1.03890164078842
"1498","YCR038C",0.543230372696955,1.11455794000983,-1.03683556682621
"2574","YBR066C",1.25024879746334,2.54657510751473,-1.02634305063938
"5552","YBL016W",3.6552033620162,7.43268669591697,-1.02393212189583
"3786","YBR299W",0.131030441655547,0.265699570838257,-1.01989387264968
"2054","YGL032C",2.83899290253685,5.75567382023654,-1.01960559309214
"2789","YJL119C",0.027298008678239,0.0552103004339236,-1.01614173778857
"2870","YGR293C",0.027298008678239,0.0552103004339236,-1.01614173778857
"4961","YCL058C",1.20111238184251,2.42925321909264,-1.01614173778857
"392","YOR078W",4.92456076555431,9.95165665321473,-1.01494165866137
"4218","YLL062C",1.20657198357816,2.43615450664688,-1.01369164655568
"417","YOR292C",2.26846452116166,4.56520171713006,-1.00896251218426
"2922","YKL082C",2.81442469472644,5.65905579447717,-1.00772131481327
"4316","YEL035C",0.079164225166893,0.15872961374753,-1.00365079360537
"5139","YDR088C",1.4740924686249,2.94684978566067,-0.999346495245591
"3651","YDL034W",0.109192034712956,0.217390557958574,-0.993421661288485
"23","YKL052C",1.4740924686249,2.93304721055219,-0.992573266650165
"1310","YMR121C",2.97548294592805,5.91095279020695,-0.990266849095641
"706","YDL068W",0.0191086060747673,0.0379570815483225,-0.990146529255624
"757","YMR039C",3.98004966528724,7.87781974316548,-0.985009972573696
"4940","YDR133C",7.40321995353841,14.6307296149898,-0.982776918990149
"4920","YNL166C",3.44227889432593,6.77706437826413,-0.977296486662404
"1852","YGL029W",1.59693350767698,3.14353648095653,-0.977084262007215
"5208","YBL093C",4.5232800379842,8.89921030119307,-0.976308003243694
"165","YOR345C",0.0245682078104151,0.0483090128796832,-0.975499753291223
"5376","YOR376W",0.0245682078104151,0.0483090128796832,-0.975499753291223
"4886","YGR280C",1.58601430420568,3.11248068696244,-0.972659102526783
"1104","YNL050C",2.23024730901212,4.37541630938845,-0.972216594669655
"5768","YML122C",0.0545960173564779,0.106969957090727,-0.970338048175444
"5337","YIL136W",0.985458113284427,1.92545922763309,-0.966336117617948
"904","YLR308W",0.0300278095460629,0.0586609442110439,-0.966101055288973
"1868","YNL140C",0.0300278095460629,0.0586609442110439,-0.966101055288973
"4274","YNL285W",0.0600556190921257,0.117321888422088,-0.966101055288973
"5478","YBR067C",3.63882455680925,7.10832618086767,-0.966037389657539
"2796","YNL036W",2.7188816643526,5.31054077298803,-0.965845416936061
"3837","YIL161W",0.914483290721005,1.78398283277116,-0.964073017645731
"1921","YKR091W",0.786182649933282,1.52863519326426,-0.959307719788637
"4843","YNL091W",9.7099016868496,18.8715708170705,-0.958685920374371
"4714","YOL119C",1.71704474586123,3.33677253247526,-0.958525705273483
"3214","YJR004C",1.18473357663557,2.30157939933919,-0.958061551416037
"4457","YOR194C",1.92723941268367,3.74049785439833,-0.956694500758622
"1038","YDR391C",2.08283806214963,4.04070386300779,-0.956055946342616
"876","YMR070W",0.827129662950641,1.60454935636091,-0.955982755198374
"2620","YIR017C",0.316656900667572,0.6142145923274,-0.955822268514757
"3552","YDR113C",1.74161295367165,3.3781802578007,-0.955822268514757
"3507","YGR142W",2.84718230514032,5.510678112061,-0.952694987567398
"5822","YPR065W",0.627854199599496,1.21462660954632,-0.952011400368853
"5298","YPL081W",19.0922272695603,36.9322403465178,-0.951895365396623
"1274","YGR230W",0.450417143190943,0.869562231834297,-0.949027541930032
"1448","YCL031C",7.80723048197634,15.0620600871298,-0.948036339526982
"6010","YEL024W",2.33397974198943,4.49618884158766,-0.945910591470805
"2216","YGL106W",7.43051796221665,14.3029184561633,-0.944774867555049
"5520","YIR018W",1.50957987990661,2.90544206033523,-0.94461058550762
"4469","YLR218C",0.7425058360481,1.42856652372777,-0.944093948924917
"3359","YFR033C",3.12835179452619,6.01447210352056,-0.943035358044711
